event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
UKR171961,"27 August 2024",2024,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Ukraine)",,3,"Military Forces of Ukraine (2019-)",,1,13,,804,Europe,Ukraine,Volyn,Lutskyi,Lutska,Lutsk,50.7593,25.3424,1,Liveuamap,"Local partner-New media","On 27 August 2024, a Ukrainian serviceman was injured after an unknown armed man shot at the military enlistment office in Lutsk, Volyn.",0,,1725414555
UKR171962,"27 August 2024",2024,1,"Political violence",Battles,"Armed clash","Military Forces of Russia (2000-)",,8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Kharkiv,Kharkivskyi,Lypetska,Lyptsi,50.2037,36.4077,2,"Ministry of Defence of Russia; Ministry of Defence of Ukraine",Other-National,"On 27 August 2024, Russian Forces clashed with Ukrainian Forces near Lyptsi, Kharkiv. According to Russian sources, 165 Ukrainian soldiers were killed in the area of Vovchansk, Lyptsi and Alisivka. [Russian MoD reported 165 fatalities. Coded as 10 fatalities split across 3 events. 3 fatalities coded to this event].",3,,1725414555
UKR171963,"27 August 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force",,8,,,0,80,,804,Europe,Ukraine,Donetsk,Horlivskyi,Horlivska,Maiorsk,48.4005,37.9708,2,"Ministry of Defence of Ukraine",Other,"On 27 August 2024, Russian Forces launched air strikes in the area of Maiorsk, Donetsk. Casualties unknown.",0,,1725414555
UKR171964,"27 August 2024",2024,1,"Political violence",Battles,"Armed clash","Military Forces of Russia (2000-)","Military Forces of Russia (2000-) Air Force",8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Zaporizhia,Polohivskyi,Malotokmachanska,"Mala Tokmachka",47.5325,35.8978,2,"061.ua; Ministry of Defence of Ukraine; Suspilne Media",Other-Subnational,"On 27 August 2024, Russian Forces, supported by air force, launched assault actions on Ukrainian positions near Mala Tokmachka, Zaporizhia. Russian Forces shelled Mala Tokmachka with artillery. Casualties unknown.",0,,1725414555
UKR171965,"27 August 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force","Military Forces of Russia (2000-)",8,,,0,80,,804,Europe,Ukraine,Zaporizhia,Polohivskyi,Malynivska,Malynivka,47.6723,36.4758,1,"061.ua; Suspilne Media",Subnational-National,"On 27 August 2024, Russian Forces launched drone strikes and shelled Malynivka, Zaporizhia, with artillery and MLRS. Casualties unknown.",0,,1725414555
UKR171966,"27 August 2024",2024,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,"Civilians (Ukraine)",,7,78,"Civilian targeting",804,Europe,Ukraine,Dnipropetrovsk,Nikopolskyi,Marhanetska,Marhanets,47.6354,34.6277,1,"Suspilne Media",National,"On 27 August 2024, Russian Forces shelled Marhanets, Dnipropetrovsk, with MLRS, damaging a house, 6 outbuildings and a car. 1 civilian was killed.",1,,1725414555
UKR171967,"27 August 2024",2024,1,"Political violence",Battles,"Armed clash","Military Forces of Russia (2000-)",,8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Donetsk,Pokrovskyi,Novohrodivska,Marynivka,48.1811,37.3484,2,"Institute for the Study of War; WarGonzo",Other-National,"On 27 August 2024, Russian Forces clashed with Ukrainian Forces near Marynivka, Donetsk. Casualties unknown.",0,,1725414555
UKR171968,"27 August 2024",2024,1,"Political violence",Battles,"Non-state actor overtakes territory","Military Forces of Russia (2000-)",,8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Donetsk,Pokrovskyi,Novohrodivska,Memryk,48.1227,37.3982,1,"Institute for the Study of War; WarGonzo",Other-National,"On 27 August 2024, according to Russian sources, Russian Forces took control over Memryk, Donetsk, after clashing with Ukrainian Forces. Casualties unknown.",0,,1725414555
UKR171969,"27 August 2024",2024,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Russia (2000-)",,8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Kherson,Beryslavskyi,Novoraiska,Monastyrske,46.9586,33.5505,2,"Ministry of Defence of Russia",National,"On 27 August 2024, Russian Forces struck (likely by shelling) Ukrainian Forces near Dniprovske, Kherson. According to Russian sources, 50 Ukrainian soldiers were killed in the area of Monastyrske, Kamianske, Dniprovske and Monastyrske. [Russian MoD reported 50 fatalities. Coded as 10 fatalities split across 4 events. 2 fatalities coded to this event].",2,,1725414555
UKR171970,"27 August 2024",2024,1,"Political violence",Battles,"Armed clash","Military Forces of Russia (2000-)","Military Forces of Russia (2000-) Air Force",8,"Military Forces of Ukraine (2019-)",,1,18,,804,Europe,Ukraine,Donetsk,Pokrovskyi,Novohrodivska,Mykhailivka,48.1366,37.376,2,"Ministry of Defence of Russia; Ministry of Defence of Ukraine",Other-National,"On 27 August 2024, Russian Forces launched assault actions on Ukrainian positions near Mykhailivka, Donetsk. 110 Russian soldiers were killed and 266 injured in the area of Sukha Balka, Vozdvyzhenka, Zelene Pole, Myroliubivka, Novooleksandrivka, Mykhailivka, Novohrodivka and Selydove (coded as 110 fatalities split across 8 events. 14 fatalities coded to this event). Ukrainian Forces destroyed a howitzer, a grenade launcher, 3 UAVs and a unit of special equipment of Russian Forces in the Pokrovsk direction. According to Russian sources, 475 Ukrainian soldiers were killed in the area of Toretsk, Mykhailivka, Karlivka, Hrodivka, Rozivka, Druzhba, Halytsynivka and Lisivka. [Russian MoD reported 475 fatalities. Coded as 10 fatalities split across 8 events. 2 fatalities coded to this event]. Overall fatalities. Coded as 16.",16,,1725414555
